"","20201204_30102534581221-01_P0094 D0 2 _08.RCC","20201204_30102534581221-01_P0094 D0 3_09.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201204_30102534581221-01_P0094 D0 1_07.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC"
"TNFRSF1B - mRNA",35,21,9,10,14,13,21,23,9,24,23,16,22,14,23,25,30
"CD247 - mRNA",29,25,27,22,25,26,24,31,29,23,30,24,26,17,21,16,19
"TNFRSF18 - mRNA",24,28,28,17,20,13,29,29,18,33,31,20,29,21,20,21,24
"THY1 - mRNA",23,28,26,11,16,15,23,18,24,30,29,22,26,27,26,20,28
"TREM1 - mRNA",28,26,24,16,17,17,20,18,16,29,25,18,27,20,22,17,18
"CCL14 - mRNA",21,16,19,16,20,11,17,21,24,18,22,20,33,28,21,14,27
"NEG_B(0) - mRNA",16,21,17,17,16,16,16,32,18,19,20,20,29,28,19,10,20
"LAMC2 - mRNA",22,14,27,17,29,13,28,23,20,20,22,21,25,18,27,11,28
"MYCT1 - mRNA",16,14,25,13,21,16,23,23,18,16,18,23,25,20,19,14,25
"ITGAM - mRNA",21,16,25,13,16,16,28,22,13,10,24,19,24,13,23,14,23
"CCL19 - mRNA",17,15,12,26,12,23,26,23,19,32,32,16,19,16,28,11,25
"SELP - mRNA",20,15,21,20,18,25,15,22,15,26,29,16,22,20,20,7,19
"DKK1 - mRNA",12,17,14,13,14,22,18,25,19,23,24,21,24,17,15,9,22
"HNF1A - mRNA",15,11,14,20,19,17,17,16,19,22,23,23,30,26,30,13,20
"SIGLEC8 - mRNA",12,10,18,19,23,14,21,19,12,23,29,21,20,21,26,7,16
"OTOA - mRNA",17,29,17,14,17,22,23,14,13,24,28,18,19,27,20,18,9
"BLK - mRNA",11,19,15,17,13,18,20,15,15,30,29,17,30,17,25,17,15
"NEG_C(0) - mRNA",18,23,13,20,22,23,24,29,13,25,20,18,33,13,22,19,15
"ICOS - mRNA",26,23,20,23,24,7,30,18,14,25,30,19,31,17,21,15,18
"IHH - mRNA",18,19,27,17,22,13,15,14,10,22,27,22,25,16,21,15,17
"SIGLEC1 - mRNA",24,17,20,16,21,13,19,19,19,24,25,23,21,17,16,18,14
"CBLC - mRNA",24,21,16,9,14,13,11,24,12,31,14,25,16,16,19,14,9
"IL15 - mRNA",13,15,14,19,26,9,14,13,11,18,9,23,21,19,24,17,16
"OLR1 - mRNA",17,22,9,19,27,12,15,27,14,22,17,26,18,19,16,11,16
"CPA3 - mRNA",15,11,10,14,26,19,27,19,8,20,21,27,20,13,27,14,14
"NEG_E(0) - mRNA",13,12,20,15,19,17,26,13,18,26,23,26,14,21,20,20,20
"PRF1 - mRNA",26,11,10,15,25,9,19,23,16,19,31,22,18,14,32,15,30
"P2RY13 - mRNA",19,13,21,13,27,16,11,16,17,12,22,23,13,13,27,13,23
"CXCL12 - mRNA",20,16,13,17,19,14,14,20,14,13,33,18,15,17,28,17,17
"GZMK - mRNA",27,26,16,18,21,19,14,15,17,23,18,19,24,19,36,12,18
"RIPK3 - mRNA",28,19,18,15,16,16,24,11,18,15,24,21,24,20,31,8,26
"HLA-DOB - mRNA",19,15,16,15,14,12,21,17,15,17,22,25,19,14,18,10,13
"NEG_A(0) - mRNA",18,20,11,17,15,14,24,20,14,17,18,16,22,17,16,15,19
"SLC11A1 - mRNA",23,14,17,13,12,21,14,14,8,17,24,17,17,19,18,7,20
"NID2 - mRNA",21,11,21,14,16,14,25,16,7,24,18,16,24,22,22,8,22
"CD84 - mRNA",25,27,22,14,27,22,11,27,18,27,21,26,24,21,22,13,42
"CD2 - mRNA",27,23,17,8,21,20,15,18,17,15,32,28,33,22,26,12,30
"CXCL16 - mRNA",18,27,16,16,26,18,18,29,21,24,26,32,29,28,25,19,25
"TDO2 - mRNA",25,24,14,10,30,27,19,21,17,29,28,27,26,21,32,21,31
"CD5 - mRNA",26,27,23,21,22,25,21,19,20,30,18,22,32,32,31,14,25
"TNFSF12 - mRNA",30,37,24,9,38,27,16,17,21,35,27,17,35,31,33,18,31
"CD45RA - mRNA",34,20,37,18,27,22,34,27,19,27,27,23,24,23,24,35,24
"MGMT - mRNA",36,27,37,19,22,24,32,30,18,31,39,31,29,20,24,28,27
"SERPINB5 - mRNA",29,40,32,20,31,24,29,23,14,31,23,22,26,22,27,14,23
"CD38 - mRNA",28,46,22,19,20,15,25,24,15,27,21,22,23,22,26,20,20
"IFNG - mRNA",51,49,26,14,18,11,16,19,15,25,35,18,21,22,22,30,23
"FSTL3 - mRNA",38,40,19,13,17,12,19,14,6,23,18,23,24,19,14,26,27
"CD48 - mRNA",49,31,25,15,21,14,16,20,11,25,17,14,23,20,17,23,20
"CD79B - mRNA",48,39,16,21,20,22,11,19,9,15,37,25,31,27,34,24,30
"CD45RB - mRNA",46,34,24,26,26,23,26,19,25,28,35,39,28,31,37,24,28
"TNFSF9 - mRNA",41,29,22,13,18,20,16,19,21,32,36,28,21,22,29,23,27
"FCGR1A - mRNA",43,30,31,21,22,28,20,30,18,23,28,28,30,26,27,24,35
"AXL - mRNA",19,15,14,17,21,25,30,15,14,39,25,33,34,27,22,14,80
"MX1 - mRNA",25,32,10,10,20,37,21,22,8,19,23,29,27,27,34,14,46
"LTBP1 - mRNA",37,36,22,18,20,20,29,19,14,25,36,25,37,18,40,31,51
"MRC1 - mRNA",37,15,21,13,26,22,22,23,13,37,23,14,32,25,38,25,51
"KLRD1 - mRNA",28,23,14,12,33,15,22,20,14,18,43,21,26,13,36,8,24
"TSLP - mRNA",28,19,11,19,35,19,27,32,13,23,41,36,22,16,38,12,30
"IFIT1 - mRNA",37,22,15,17,37,25,18,19,15,18,42,28,33,29,33,13,38
"CD40LG - mRNA",23,16,14,22,44,18,20,16,22,18,39,30,30,17,33,11,39
"RASGRF1 - mRNA",26,11,17,14,44,20,16,23,16,15,36,33,28,17,36,12,31
"TGFB3 - mRNA",30,30,26,25,41,18,12,14,13,39,47,32,35,17,20,16,41
"PDGFB - mRNA",20,40,16,27,26,15,16,17,10,19,39,28,27,24,16,16,30
"IDO1 - mRNA",21,30,13,18,42,19,17,16,10,20,48,42,33,20,27,13,25
"CES3 - mRNA",26,30,21,28,25,23,26,20,11,29,50,35,29,29,27,15,32
"CSF3R - mRNA",22,27,13,28,36,24,16,28,24,28,50,41,21,22,25,15,28
"IL1RN - mRNA",15,15,19,39,33,22,12,15,26,15,34,30,20,29,24,11,33
"PGPEP1 - mRNA",12,7,22,27,32,32,13,17,10,22,34,25,25,26,38,7,33
"EGFR - mRNA",13,14,20,22,32,29,18,20,11,30,48,32,27,18,34,12,37
"CD3G - mRNA",16,25,20,23,38,33,18,21,19,29,43,33,21,23,32,11,37
"RORC - mRNA",19,14,12,26,33,22,13,12,19,28,40,31,28,22,37,8,39
"SYK - mRNA",15,19,14,18,40,28,10,18,16,21,38,29,29,27,34,13,37
"LAIR1 - mRNA",16,20,21,11,13,13,11,20,14,28,33,34,21,11,28,9,35
"CD274 - mRNA",17,18,21,23,28,15,11,22,16,22,26,34,25,15,33,14,25
"CNTFR - mRNA",23,15,23,15,30,20,15,16,15,15,26,29,27,15,21,12,22
"EPCAM - mRNA",22,17,21,15,30,18,13,16,13,21,25,31,27,22,30,18,25
"WNT11 - mRNA",17,16,20,18,22,13,24,18,21,24,40,34,26,22,24,13,22
"FGF18 - mRNA",23,22,23,29,20,18,21,16,20,26,27,23,28,22,26,11,24
"CD1C - mRNA",24,24,19,22,25,19,25,12,13,24,30,27,22,23,24,10,28
"THBD - mRNA",11,5,6,29,31,16,12,13,7,16,26,31,18,14,26,6,32
"TAF3 - mRNA",14,10,18,22,33,17,16,16,14,18,31,18,24,20,32,8,34
"MS4A2 - mRNA",8,10,14,15,34,16,18,19,12,11,26,23,26,13,27,8,26
"C5AR1 - mRNA",12,8,21,13,31,15,12,12,6,15,47,20,26,26,24,10,31
"DLL1 - mRNA",10,12,9,23,21,15,14,11,12,19,40,31,25,13,27,12,36
"TNFSF13 - mRNA",15,7,14,22,21,19,15,15,23,26,38,28,29,16,20,10,41
"TNFRSF8 - mRNA",10,8,18,26,23,15,11,15,15,20,41,26,18,20,23,11,37
"NOS2 - mRNA",15,7,22,29,24,19,13,12,17,18,41,27,25,19,20,8,35
"IL2RA - mRNA",27,35,30,27,49,28,22,21,15,28,58,33,54,31,38,15,38
"GIMAP6 - mRNA",20,25,26,23,43,26,20,20,27,27,51,35,43,30,37,13,36
"LILRA3 - mRNA",20,38,28,24,42,18,22,19,27,26,51,39,39,35,28,16,43
"PTGER4 - mRNA",35,32,23,20,40,24,20,28,22,30,45,38,42,31,25,18,42
"TNFRSF9 - mRNA",34,37,30,25,41,17,19,19,24,26,42,33,38,27,36,22,29
"KLRK1 - mRNA",40,27,17,21,56,28,18,16,4,16,51,38,41,24,35,25,55
"ICOSLG - mRNA",34,34,20,32,43,17,21,18,23,18,52,29,32,20,31,18,45
"CD209 - mRNA",30,22,19,31,47,23,25,20,22,24,61,46,31,29,33,19,52
"LGALS9 - mRNA",30,19,19,32,37,16,15,24,17,21,61,33,39,31,34,23,51
"GZMH - mRNA",20,16,23,36,42,21,18,12,25,18,44,39,33,22,29,13,41
"NCR1 - mRNA",20,22,25,29,45,25,30,16,24,17,49,44,38,29,26,11,38
"WNT7B - mRNA",14,7,24,28,44,24,30,14,19,26,54,29,37,22,32,12,35
"PLA2G2A - mRNA",21,13,27,23,46,26,25,26,18,20,56,37,40,20,36,14,45
"ROBO4 - mRNA",16,9,24,30,39,33,26,19,18,19,55,41,38,21,41,13,42
"CCL21 - mRNA",22,17,24,32,28,19,23,20,24,24,60,43,33,13,29,8,31
"PRLR - mRNA",14,16,18,23,40,19,13,18,20,18,50,35,28,22,39,8,38
"HDC - mRNA",19,14,24,17,35,20,13,19,21,13,59,37,36,19,38,7,42
"MAP3K5 - mRNA",22,21,21,29,42,27,20,27,24,18,41,56,32,22,41,13,31
"CD27 - mRNA",27,12,22,22,33,22,16,17,15,17,49,51,46,24,36,17,32
"TNFSF10 - mRNA",22,13,26,30,36,20,16,16,11,20,41,45,29,26,39,16,44
"ESR1 - mRNA",14,17,17,22,39,20,22,19,13,27,45,52,36,26,39,15,43
"IL2RB - mRNA",24,20,19,21,32,14,25,15,22,24,51,36,25,18,41,15,32
"SPIB - mRNA",30,22,27,22,27,19,27,22,17,31,42,37,31,26,43,20,36
"ZAP70 - mRNA",26,24,23,25,42,15,26,16,11,23,45,40,25,23,33,12,46
"IRF8 - mRNA",31,26,22,20,41,21,31,29,15,21,44,37,29,31,31,19,38
"ARG1 - mRNA",16,10,12,18,44,29,14,23,15,19,42,40,45,19,48,14,48
"CCL22 - mRNA",21,12,21,14,38,26,29,23,18,21,62,32,44,27,35,10,47
"ICAM2 - mRNA",20,14,19,21,34,22,19,26,17,20,52,43,46,23,34,12,63
"CCL13 - mRNA",14,14,21,28,32,22,18,18,14,23,29,33,34,26,20,11,46
"FOXP3 - mRNA",14,11,18,26,37,14,14,21,16,24,43,28,39,20,25,17,54
"JAG2 - mRNA",15,15,20,16,35,23,26,16,14,23,45,35,30,24,24,7,41
"BTLA - mRNA",13,13,12,21,48,23,13,16,16,22,56,36,35,23,25,9,42
"CLEC14A - mRNA",18,12,17,12,41,22,14,22,11,25,50,42,34,26,31,9,34
"LIF - mRNA",13,14,17,17,50,28,19,18,12,22,44,42,31,20,31,19,38
"STK11IP - mRNA",11,18,13,14,19,20,21,14,7,22,44,39,39,33,33,13,39
"FAS - mRNA",24,17,17,25,33,14,21,16,20,26,39,44,30,31,31,10,29
"BCL6B - mRNA",22,19,18,27,35,25,22,13,18,17,41,33,28,32,36,6,34
"CTSW - mRNA",27,21,22,24,28,26,24,19,17,23,36,28,34,27,22,21,33
"GNG4 - mRNA",25,22,22,26,35,24,27,26,20,26,35,34,42,38,31,16,36
"NEG_F(0) - mRNA",27,28,22,34,34,22,31,40,29,51,26,22,30,33,33,27,32
"CSF2RB - mRNA",13,24,27,30,23,18,25,29,25,34,41,36,27,23,37,15,41
"CD40 - mRNA",26,26,26,24,27,28,30,33,20,31,36,38,23,24,25,17,38
"IL18R1 - mRNA",22,33,30,24,27,20,26,35,24,30,30,34,29,31,38,16,30
"LAG3 - mRNA",44,46,22,31,39,22,37,38,27,37,42,38,47,26,34,37,30
"COL5A1 - mRNA",27,38,33,21,33,27,30,37,19,30,41,29,41,33,34,15,28
"COL17A1 - mRNA",33,36,31,30,32,27,25,36,26,34,38,26,43,32,36,24,26
"FAP - mRNA",51,34,21,23,23,31,27,23,16,26,33,28,42,45,26,22,30
"IKBKB - mRNA",46,32,19,24,31,30,26,29,23,43,37,34,40,46,37,22,38
"LILRB4 - mRNA",37,20,28,19,37,15,23,28,14,33,51,49,35,33,30,27,60
"TNFRSF10B - mRNA",28,36,34,25,39,24,20,28,12,50,42,42,43,33,39,16,55
"SOX2 - mRNA",33,24,26,27,58,24,16,24,16,36,43,41,35,36,37,14,56
"CD300A - mRNA",32,32,33,37,54,30,24,19,16,41,60,43,35,26,38,18,56
"TNFRSF4 - mRNA",50,24,40,39,30,27,25,27,28,38,56,40,46,29,51,18,48
"HAVCR2 - mRNA",42,29,32,31,48,28,39,29,17,32,52,42,39,33,47,25,61
"TNFRSF25 - mRNA",36,27,29,40,38,36,48,28,25,32,61,46,48,41,40,18,55
"NEIL1 - mRNA",52,26,26,33,37,23,33,23,23,31,58,37,36,24,39,31,37
"CD4 - mRNA",35,21,28,26,38,21,40,25,27,27,48,31,37,26,31,26,42
"FGFR1 - mRNA",31,33,19,24,39,33,33,36,20,39,48,38,32,27,37,19,52
"SOX11 - mRNA",52,32,16,21,36,25,28,29,20,28,46,41,34,34,42,20,49
"NOTCH1 - mRNA",38,29,20,21,31,28,34,35,25,28,51,34,37,36,47,12,47
"CD70 - mRNA",19,20,33,36,42,27,33,22,18,40,58,52,27,27,40,18,43
"CD19 - mRNA",22,19,38,28,29,32,31,19,26,31,53,49,30,32,33,10,36
"ADGRE1 - mRNA",21,20,24,22,45,32,27,21,17,28,49,52,36,23,47,22,36
"CD6 - mRNA",27,17,20,32,43,23,29,25,22,33,56,48,41,24,42,19,42
"GNLY - mRNA",30,21,17,25,46,30,34,28,24,27,54,51,29,23,40,22,41
"CDH5 - mRNA",22,18,27,33,33,38,29,25,25,25,55,40,37,23,39,13,41
"ADORA2A - mRNA",30,27,28,31,37,32,31,31,21,26,48,41,38,21,36,21,28
"MFNG - mRNA",23,24,22,34,46,32,31,33,31,40,45,49,35,47,40,29,28
"GLI1 - mRNA",27,20,18,33,33,27,26,33,28,29,60,54,45,33,35,16,45
"TNFRSF10C - mRNA",28,26,20,44,29,28,35,31,35,33,54,41,51,28,39,20,34
"CD80 - mRNA",22,25,19,33,37,25,31,27,28,32,57,28,30,41,38,15,38
"CSF2 - mRNA",14,9,20,17,31,20,23,27,20,29,53,27,31,27,34,14,42
"IL10 - mRNA",23,12,19,22,23,23,25,29,17,21,54,23,33,27,39,24,35
"CCL20 - mRNA",24,18,26,22,41,30,24,37,17,32,28,43,35,41,46,12,33
"IRF5 - mRNA",20,17,26,14,31,16,25,26,28,27,47,32,39,38,40,12,34
"PDGFA - mRNA",18,9,33,17,42,29,22,28,25,24,42,32,42,28,38,10,45
"SERPINA1 - mRNA",63,63,21,18,21,25,25,14,14,23,26,27,26,22,19,46,23
"JAK3 - mRNA",77,48,15,20,26,31,22,19,15,28,28,26,31,30,30,44,33
"DUSP2 - mRNA",65,59,14,17,27,26,17,16,16,25,35,32,27,28,34,36,46
"SAMSN1 - mRNA",43,42,11,15,31,18,14,32,10,21,30,44,31,24,35,29,53
"CEP55 - mRNA",52,29,20,25,38,29,15,26,17,28,40,35,38,36,28,31,58
"P4HA2 - mRNA",53,44,24,18,28,30,14,31,10,33,36,41,35,43,41,26,50
"TNFAIP3 - mRNA",63,54,16,17,31,25,21,22,19,22,49,36,45,33,31,27,64
"NCAM1 - mRNA",38,41,17,23,36,29,22,20,25,18,44,41,40,24,36,23,60
"CD163 - mRNA",38,43,19,21,36,36,29,31,17,27,43,37,37,31,26,33,70
"ZC3H12A - mRNA",65,66,31,28,53,31,30,30,29,31,49,49,34,22,34,29,47
"PLA1A - mRNA",54,59,28,25,40,24,28,23,26,23,42,45,36,33,38,42,39
"TBXAS1 - mRNA",66,53,26,20,33,37,38,35,23,42,41,46,49,41,44,44,60
"MAP3K8 - mRNA",65,62,29,24,44,38,32,27,11,38,52,55,48,27,50,35,65
"CD45RO - mRNA",63,57,28,19,49,43,29,27,15,44,45,45,46,35,33,29,63
"IL16 - mRNA",73,48,24,13,40,34,14,23,21,35,53,55,39,50,59,42,64
"DLL4 - mRNA",67,40,18,28,48,28,20,22,22,42,57,50,42,43,41,34,43
"IL32 - mRNA",105,122,29,24,48,22,20,26,21,38,41,48,43,38,47,79,49
"CXCL9 - mRNA",94,157,29,26,48,25,23,25,33,17,57,61,46,28,43,68,41
"C1QA - mRNA",171,137,47,37,69,33,28,27,26,52,60,71,50,47,53,91,99
"SOCS1 - mRNA",153,106,28,24,41,37,18,15,14,43,54,39,45,28,30,69,80
"PSMB9 - mRNA",225,184,37,14,51,57,36,46,22,62,60,56,63,60,57,132,104
"APOL6 - mRNA",204,148,38,24,66,74,34,46,22,64,51,62,80,68,64,115,129
"PARP9 - mRNA",197,145,44,32,61,60,27,45,20,48,47,65,75,62,55,107,91
"ANLN - mRNA",165,130,26,28,63,78,37,29,24,33,73,79,118,87,64,70,163
"UBE2C - mRNA",163,135,23,27,78,64,32,27,15,39,80,62,98,55,92,63,145
"FCGRT - mRNA",162,114,43,31,82,73,39,49,33,65,70,98,87,60,82,65,168
"PRKACB - mRNA",175,128,42,26,70,90,46,42,20,67,47,74,112,67,97,60,141
"TNKS - mRNA",166,122,41,37,69,98,49,52,24,77,55,71,100,84,89,76,155
"MSH6 - mRNA",143,110,40,31,71,87,37,46,23,75,56,78,106,70,101,70,155
"BCL2 - mRNA",162,124,41,52,93,64,39,41,26,56,86,109,113,67,112,96,139
"SREBF1 - mRNA",183,150,35,43,79,78,39,59,35,95,78,75,114,90,103,69,136
"MAML2 - mRNA",155,143,29,37,67,78,47,42,28,58,62,70,104,85,101,108,122
"PLOD2 - mRNA",174,114,32,30,69,87,30,42,11,62,66,78,115,106,92,93,139
"PIK3R1 - mRNA",174,117,37,30,71,83,32,43,23,70,60,77,106,98,112,81,146
"BIRC5 - mRNA",136,147,31,32,36,95,32,33,15,39,43,53,105,75,71,62,122
"C2 - mRNA",162,144,44,62,79,72,38,45,30,68,102,84,85,72,71,108,98
"IFI6 - mRNA",169,140,39,42,65,68,26,47,25,59,81,68,70,48,63,77,69
"IFIT3 - mRNA",152,143,32,31,78,58,40,45,30,64,102,68,84,50,73,89,88
"PSMB10 - mRNA",144,100,29,40,74,73,23,44,29,51,80,84,87,70,88,63,92
"IL33 - mRNA",166,108,33,33,72,74,48,57,27,68,82,84,84,53,79,80,85
"IRF9 - mRNA",180,131,47,28,62,59,41,54,26,66,48,78,87,78,87,75,106
"HES1 - mRNA",168,144,43,39,64,69,41,49,29,73,77,84,98,104,98,79,94
"TNFSF13B - mRNA",187,180,34,58,111,73,31,51,32,64,132,116,81,58,101,105,113
"FLT1 - mRNA",282,176,50,48,133,88,43,47,38,83,135,114,95,63,102,102,123
"PROM1 - mRNA",254,169,31,59,110,62,40,38,32,65,117,97,81,49,73,106,104
"SPRY4 - mRNA",260,153,40,40,84,88,28,60,27,78,92,86,98,87,116,129,151
"NECTIN2 - mRNA",277,186,49,41,73,103,41,47,23,83,51,84,132,96,83,113,166
"DTX3L - mRNA",248,201,57,36,99,101,51,72,27,85,66,109,122,98,111,119,149
"P4HA1 - mRNA",294,232,52,45,82,76,36,56,23,87,72,96,90,100,106,143,81
"HLA-F - mRNA",292,211,32,39,162,94,37,59,32,104,106,129,107,87,85,130,118
"GBP4 - mRNA",277,237,22,22,44,30,19,26,21,25,30,24,39,53,27,168,44
"C1QB - mRNA",345,245,40,42,88,56,26,59,23,66,70,68,52,72,68,176,148
"G6PD - mRNA",73,51,53,44,97,110,67,85,37,114,94,95,123,117,149,18,155
"GOT1 - mRNA",115,78,70,53,114,135,49,68,39,123,86,112,123,116,120,58,187
"MTOR - mRNA",90,68,53,45,118,113,54,79,47,88,100,117,127,110,137,41,183
"CHUK - mRNA",83,71,45,44,130,109,50,57,26,101,83,131,143,114,132,56,196
"EXO1 - mRNA",102,61,41,46,141,95,57,49,31,59,130,112,138,130,134,45,209
"ITGAE - mRNA",102,66,60,64,117,117,70,47,26,80,111,115,154,151,145,55,185
"BRCA2 - mRNA",127,82,53,52,124,84,64,60,33,54,121,128,118,94,142,71,176
"GLS - mRNA",133,92,55,62,106,100,51,54,30,104,115,118,120,102,114,63,170
"MLH1 - mRNA",125,95,56,62,114,123,55,64,29,83,116,114,122,101,146,50,176
"SAMD9 - mRNA",123,103,48,36,114,122,39,63,39,85,121,137,131,107,174,90,169
"NF1 - mRNA",136,102,42,51,90,102,60,63,24,86,81,117,159,110,134,81,185
"PIK3CA - mRNA",147,102,63,49,132,112,49,69,39,100,88,139,146,120,147,58,181
"SMAD5 - mRNA",135,98,63,56,121,124,66,54,36,90,114,129,151,108,142,76,162
"BBC3 - mRNA",136,80,73,62,112,100,37,96,42,156,122,141,122,119,94,59,166
"ANGPTL4 - mRNA",162,121,64,39,101,67,51,64,27,149,81,96,93,98,122,73,153
"TNFRSF1A - mRNA",145,127,53,55,91,100,37,80,39,112,91,100,126,94,131,69,165
"IFNAR1 - mRNA",172,146,60,36,80,97,63,70,27,104,96,86,158,152,126,80,192
"HK1 - mRNA",135,130,41,32,68,123,50,43,26,88,72,85,145,116,143,66,167
"IGF2R - mRNA",119,87,62,45,79,142,72,84,46,88,82,92,137,148,152,65,222
"FYN - mRNA",160,127,72,49,83,127,58,80,38,118,101,118,157,126,162,70,208
"TCF3 - mRNA",146,113,61,69,73,127,57,70,40,92,107,106,156,120,143,95,228
"IRF2 - mRNA",162,115,57,56,108,108,68,72,45,93,127,120,170,113,154,82,206
"EZH2 - mRNA",148,127,55,50,108,98,54,52,34,87,112,108,153,140,131,69,218
"TTC30A - mRNA",108,92,39,64,83,76,53,75,46,67,143,103,82,79,110,60,128
"PCK2 - mRNA",77,67,58,45,80,87,55,67,38,86,120,91,102,83,100,41,114
"PIAS4 - mRNA",70,75,51,53,87,83,56,62,32,72,109,91,90,95,97,39,122
"BRD3 - mRNA",91,79,46,38,66,104,59,52,26,78,99,91,116,94,120,50,176
"S100A9 - mRNA",99,70,31,36,71,97,44,66,23,71,62,98,81,100,104,57,156
"HELLS - mRNA",106,75,41,31,74,86,49,62,17,66,75,92,111,95,98,47,151
"HMGB1 - mRNA",121,70,43,43,97,100,48,53,34,87,120,86,107,64,99,58,136
"CRABP2 - mRNA",142,80,39,41,105,71,49,55,39,80,108,107,96,70,82,67,158
"EIF2B4 - mRNA",102,73,63,51,99,95,43,58,32,87,104,108,121,105,116,64,147
"BCL2L1 - mRNA",100,91,51,52,99,73,33,56,26,89,100,93,96,82,86,49,140
"ICAM3 - mRNA",102,74,58,59,87,86,55,48,50,68,103,101,106,86,102,54,135
"HDAC3 - mRNA",104,84,48,47,77,98,53,54,35,76,87,92,113,81,95,55,148
"TMUB2 - mRNA",112,90,43,37,81,78,49,63,37,83,90,108,115,86,93,53,144
"COL11A2 - mRNA",140,96,45,48,93,73,62,51,35,61,109,88,150,128,116,71,148
"BAMBI - mRNA",146,117,39,50,102,93,45,64,35,79,93,125,131,117,107,77,125
"PFKM - mRNA",147,103,51,49,94,88,38,38,35,67,113,97,114,91,121,65,142
"PMS2 - mRNA",143,128,51,66,89,93,56,56,32,84,114,90,116,89,128,73,146
"ARID1A - mRNA",144,102,49,30,76,98,59,52,33,82,48,60,130,108,106,59,154
"PRKCA - mRNA",103,84,32,32,60,94,67,55,31,79,70,62,119,119,106,60,145
"TGFB1 - mRNA",112,113,46,35,67,77,61,66,38,64,50,77,86,82,83,62,139
"TPM1 - mRNA",121,112,54,46,90,106,47,46,23,96,66,91,107,107,100,68,143
"JAG1 - mRNA",128,101,51,36,85,83,37,67,24,70,66,98,124,90,91,67,141
"NFKBIE - mRNA",124,73,43,37,74,77,37,58,33,78,71,85,114,102,94,65,109
"CDKN2A - mRNA",94,105,82,95,100,77,107,101,81,94,115,101,125,103,102,64,70
"POS_F(0.125) - mRNA",84,90,79,71,89,75,90,70,69,95,88,81,92,71,75,52,86
"ALDOC - mRNA",129,125,82,61,107,89,62,62,38,69,128,101,95,64,101,84,114
"TNF - mRNA",165,117,37,60,116,72,35,61,43,72,143,102,88,70,89,91,117
"CDKN2B - mRNA",150,117,49,61,76,105,39,67,55,80,109,86,82,115,127,64,112
"SNAI1 - mRNA",179,150,64,77,103,91,69,73,44,91,102,103,95,91,120,104,89
"DDB2 - mRNA",122,127,108,132,131,99,100,129,81,167,158,179,152,129,160,69,190
"BNIP3 - mRNA",120,127,93,104,106,105,98,109,68,145,142,109,157,97,128,101,122
"CXCL2 - mRNA",194,117,45,61,175,80,37,64,45,94,203,152,120,97,142,80,169
"DEPTOR - mRNA",195,120,42,62,172,89,37,52,38,69,190,123,132,88,168,94,167
"ANGPT1 - mRNA",111,79,53,62,170,108,45,68,29,85,171,160,138,88,151,57,192
"KRAS - mRNA",112,73,52,76,171,130,50,71,49,98,152,186,165,122,171,72,229
"HLA-DMB - mRNA",123,97,57,107,186,76,53,72,34,76,205,189,139,105,132,58,233
"HLA-DRB1 - mRNA",127,94,72,79,219,91,42,79,49,127,161,171,116,75,169,66,231
