"","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(2).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(3).RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC"
"PDCD1 - mRNA",38,31,40,41,41,59,32,25,19,9,11,9,6,19,14,11,2,9,7,46,21,6,52,32,34,34,21,40,15,16
"SIGLEC5 - mRNA",35,33,45,41,33,64,20,17,25,19,30,10,10,6,20,14,4,15,20,39,14,10,71,18,23,30,21,57,19,19
"CEACAM3 - mRNA",38,24,37,29,32,71,27,23,18,13,20,10,14,13,24,16,4,13,8,32,11,9,73,28,19,41,29,55,14,12
"ITGA2 - mRNA",36,26,41,27,18,64,36,25,25,21,39,12,11,10,14,8,8,24,13,43,12,13,55,19,21,27,16,45,15,12
"CCR4 - mRNA",37,28,41,40,40,70,43,26,29,25,25,26,8,13,18,10,5,26,14,37,18,14,65,22,36,33,19,42,23,13
"DNAJC14 - mRNA",18,17,34,33,33,75,31,34,26,16,14,8,10,12,14,10,4,16,8,36,16,16,58,30,11,50,15,47,15,7
"LOXL2 - mRNA",33,16,37,32,46,67,39,28,29,16,14,7,3,9,13,14,3,17,14,33,8,11,69,25,15,36,25,46,24,10
"NRDE2 - mRNA",31,18,35,41,38,74,30,28,25,19,12,10,10,16,11,10,4,15,19,36,9,18,58,15,17,35,17,55,15,7
"FGF9 - mRNA",35,18,36,40,28,59,17,19,14,13,12,4,6,13,15,14,1,14,9,49,7,9,62,19,20,34,17,47,13,9
"CCNO - mRNA",30,28,37,42,34,66,18,12,18,15,20,15,7,8,9,11,2,14,13,43,12,8,49,25,14,29,16,46,22,25
"PGPEP1 - mRNA",28,39,35,36,19,62,22,20,23,10,10,9,5,16,14,6,3,13,12,37,10,6,54,21,9,30,21,42,16,15
"PTCD2 - mRNA",45,27,24,45,26,70,37,24,29,7,16,7,9,8,12,7,3,11,14,36,9,9,52,18,23,29,11,39,19,18
"SIRPB2 - mRNA",38,21,32,35,25,88,19,31,16,16,9,10,11,11,8,11,8,15,14,27,10,9,46,19,20,28,14,49,15,12
"SNCA - mRNA",44,33,34,52,39,67,37,30,28,15,7,12,10,12,10,13,3,12,19,38,18,12,77,16,25,32,25,56,28,8
"WNT3A - mRNA",42,38,42,44,43,69,36,18,18,19,21,11,7,7,12,22,5,20,21,39,16,15,70,23,30,37,28,51,23,7
"SELL - mRNA",42,37,34,45,40,74,18,24,25,8,14,8,9,17,10,13,2,9,18,46,10,8,79,22,16,22,13,59,23,18
"EIF5AL1 - mRNA",46,42,38,44,47,78,36,15,22,14,20,9,11,18,8,7,2,11,19,45,14,7,91,33,29,38,15,61,20,15
"HELLS - mRNA",42,31,33,27,48,67,35,32,35,16,15,8,9,33,12,7,4,17,17,27,14,15,66,34,43,32,29,57,25,18
"UBE2T - mRNA",53,37,34,33,44,65,27,29,23,12,10,12,14,27,8,5,3,10,15,31,12,13,54,28,43,34,21,50,27,19
"TNFRSF4 - mRNA",43,42,37,42,45,68,31,37,23,17,10,12,18,18,16,16,7,9,22,36,22,10,62,32,26,31,48,43,20,11
"PF4 - mRNA",59,39,36,34,38,62,34,32,21,10,15,15,12,21,12,15,6,16,13,29,17,12,66,33,35,37,42,35,26,18
"PVR - mRNA",31,28,34,45,29,63,31,27,26,11,17,12,10,17,21,22,5,13,16,24,20,5,69,40,21,35,31,32,23,17
"MAPK10 - mRNA",32,41,39,34,29,64,40,26,25,15,21,16,9,27,23,16,6,20,9,32,15,13,49,32,19,44,18,40,19,23
"WNT10A - mRNA",34,32,39,35,39,75,24,24,22,27,15,27,8,14,18,13,8,19,15,30,10,16,75,36,29,52,33,43,22,21
"GAS1 - mRNA",44,28,48,32,34,83,18,16,13,19,17,13,9,19,24,10,4,16,17,29,16,16,55,31,19,34,29,47,22,17
"ADORA2A - mRNA",40,34,43,36,38,75,34,18,23,22,15,12,16,22,11,13,1,14,21,28,21,12,67,21,33,26,34,54,18,19
"NOD2 - mRNA",41,31,36,37,30,81,42,23,28,13,10,18,10,13,21,14,5,20,16,29,10,11,51,26,26,32,29,50,25,22
"GPC4 - mRNA",45,48,59,59,33,60,57,53,50,17,32,15,13,21,10,16,7,9,15,73,15,16,43,37,36,48,30,46,24,8
"CDKN2B - mRNA",71,46,42,47,36,60,48,58,38,20,17,19,12,18,16,9,9,15,19,43,22,28,58,36,47,51,28,55,18,23
"PROM1 - mRNA",49,51,62,55,44,59,59,40,40,18,17,11,8,20,10,9,7,24,20,48,12,35,59,30,36,41,39,46,22,23
"CCR5 - mRNA",39,41,36,50,39,56,56,53,51,20,22,19,9,14,19,24,2,24,20,39,15,16,67,23,39,24,25,49,20,26
"CCR2 - mRNA",36,47,36,44,27,70,43,42,35,11,22,20,8,17,11,12,6,17,9,44,14,7,50,37,43,35,26,37,21,21
"CCL8 - mRNA",53,40,37,46,29,68,45,47,36,18,33,24,16,19,23,14,10,24,13,42,23,19,71,42,36,41,31,42,30,24
"LILRA3 - mRNA",47,27,38,48,36,49,29,33,21,19,23,18,17,14,29,25,7,35,16,32,14,9,33,25,37,34,23,38,33,24
"TLR9 - mRNA",54,39,45,48,37,53,32,26,24,32,11,20,17,18,28,20,10,24,14,31,15,17,32,34,27,35,29,39,39,19
"SH2D1A - mRNA",45,44,67,45,32,64,36,41,29,13,25,13,14,12,18,15,10,27,16,35,21,22,54,29,24,43,35,47,37,22
"IL11RA - mRNA",67,39,56,37,33,59,32,26,21,24,31,22,16,25,22,12,6,31,18,27,19,12,53,36,38,37,38,56,27,27
"ICAM5 - mRNA",42,35,42,39,40,71,24,29,27,20,14,13,10,21,30,22,4,26,16,54,14,13,47,17,34,37,38,62,16,20
"CCL7 - mRNA",37,32,48,37,37,69,29,30,30,20,21,20,15,17,33,23,9,29,8,49,18,17,63,29,36,43,29,83,29,17
"CTLA4 - mRNA",48,31,42,43,42,94,33,40,36,16,23,17,12,12,27,23,3,22,15,35,14,19,62,29,18,30,17,48,30,27
"IL22RA1 - mRNA",50,34,32,43,47,70,28,40,35,15,12,14,7,12,24,16,3,25,23,23,11,17,66,29,32,42,24,52,19,20
"TNFSF13B - mRNA",47,37,38,33,49,74,36,26,33,20,21,17,7,17,20,19,8,17,20,27,15,20,62,31,28,34,13,51,26,17
"MICB - mRNA",36,25,35,35,47,65,48,34,45,23,35,14,16,3,15,15,10,16,16,52,12,20,48,28,18,26,32,47,20,20
"TRAF1 - mRNA",41,40,35,36,38,67,52,50,58,20,20,20,13,16,21,15,7,17,19,35,12,15,36,39,24,38,37,41,30,26
"TNFRSF10C - mRNA",45,34,44,41,29,72,40,39,43,23,28,12,12,15,18,12,3,20,15,42,9,20,42,29,30,42,37,36,18,20
"TREM1 - mRNA",48,37,26,26,32,60,48,48,33,21,14,20,7,17,20,10,10,17,4,35,17,24,55,29,26,37,30,70,18,21
"H2AFX - mRNA",44,29,40,30,25,52,58,34,40,22,21,29,13,12,18,16,10,19,16,24,19,13,47,28,23,34,32,41,22,15
"BID - mRNA",42,38,40,36,33,61,58,38,44,18,16,19,10,10,34,14,6,15,20,37,20,19,65,32,30,43,32,47,20,18
"IL2RA - mRNA",39,32,41,31,43,60,50,35,29,13,19,24,16,14,22,11,2,28,25,26,10,13,60,26,29,36,31,47,27,23
"PALMD - mRNA",36,30,41,42,32,56,51,29,35,16,16,24,14,14,18,16,5,22,13,31,16,15,59,34,30,47,27,54,30,28
"EDN1 - mRNA",39,16,35,24,35,53,67,40,55,24,18,12,11,13,14,17,16,16,19,36,16,29,55,20,21,31,22,44,18,19
"MAP3K5 - mRNA",37,24,34,19,29,58,63,37,49,18,17,14,16,15,17,17,8,19,17,30,15,23,65,21,28,33,20,52,18,20
"SRP54 - mRNA",31,34,32,35,43,45,48,51,57,6,24,17,10,14,23,13,11,24,7,26,11,15,54,29,10,26,29,48,20,20
"PRKAA2 - mRNA",36,25,25,26,53,46,50,45,39,17,15,11,10,10,13,14,5,18,16,28,12,13,54,33,20,32,32,58,17,22
"ICOSLG - mRNA",35,27,36,37,28,57,45,45,62,14,15,11,12,9,15,18,3,16,17,29,14,10,65,26,30,48,26,38,34,12
"FCN1 - mRNA",42,35,32,34,31,53,38,42,58,14,14,14,9,13,19,9,2,22,20,19,14,18,42,32,25,47,28,49,16,9
"BCL6B - mRNA",45,29,51,46,33,51,53,47,32,17,6,15,7,21,15,11,6,14,21,23,18,8,51,23,42,39,31,38,31,21
"PFKFB3 - mRNA",53,40,45,40,28,56,60,52,53,18,11,13,8,18,11,8,3,11,19,23,16,15,64,37,39,55,36,44,28,18
"NFATC2 - mRNA",43,44,32,44,34,67,54,51,51,12,3,9,10,26,6,11,4,13,11,37,14,18,63,34,42,41,24,44,25,24
"NOTCH1 - mRNA",41,46,32,36,33,54,58,42,46,20,11,8,16,17,10,8,4,12,16,31,16,10,64,28,39,30,24,36,26,18
"LGALS9 - mRNA",29,29,66,37,35,87,42,37,30,17,16,9,11,7,9,12,4,8,14,40,16,15,65,23,20,38,32,46,19,15
"LILRB2 - mRNA",41,30,50,26,34,83,44,41,60,6,13,6,9,25,12,12,6,8,12,39,14,14,53,22,33,35,24,47,22,21
"PIK3R2 - mRNA",28,43,48,40,27,50,43,47,37,12,21,12,10,15,19,9,3,11,16,36,20,25,65,43,26,46,30,53,16,25
"CCNE1 - mRNA",45,29,50,33,30,63,43,37,30,2,12,10,8,18,9,10,3,18,17,25,21,17,55,42,37,37,23,51,15,20
"IFIT2 - mRNA",29,20,53,43,38,66,38,40,43,12,21,13,10,13,14,13,5,12,12,33,18,10,54,19,28,33,18,48,19,12
"PMS2 - mRNA",48,26,49,45,41,64,46,47,36,12,22,7,9,16,8,10,5,8,11,33,12,12,53,25,34,42,17,55,11,19
"C2 - mRNA",36,31,49,34,36,55,57,58,42,7,19,16,11,10,23,15,3,22,14,38,16,19,52,32,34,36,20,55,30,18
"JAK2 - mRNA",37,22,49,42,26,58,63,44,41,11,18,11,10,8,19,19,8,15,15,41,11,16,53,30,22,37,16,42,18,26
"ROR2 - mRNA",41,32,31,48,35,68,38,31,42,8,10,14,10,13,26,4,1,10,13,34,15,17,69,13,23,33,21,58,16,26
"TNFRSF10D - mRNA",40,31,29,37,30,69,40,41,39,14,10,17,7,6,15,6,7,21,17,24,18,12,73,32,20,43,43,56,15,30
"EIF2B4 - mRNA",47,35,49,51,39,80,50,38,26,23,20,9,7,17,15,13,7,17,13,39,14,12,74,33,26,39,23,76,18,15
"LILRA5 - mRNA",43,27,33,47,33,60,49,37,30,11,14,9,3,11,11,11,3,9,18,36,12,13,63,41,34,31,27,63,24,17
"ITGAL - mRNA",42,43,36,47,35,63,48,40,39,13,14,9,9,17,9,9,4,9,24,40,12,11,73,43,31,39,22,51,27,13
"MARCO - mRNA",33,20,43,25,31,49,32,32,17,23,20,25,6,15,14,11,15,27,18,54,10,72,52,27,23,41,25,48,23,13
"SLC1A5 - mRNA",22,15,52,44,37,49,70,44,55,25,24,16,13,11,14,15,12,24,16,71,10,26,58,30,27,41,23,42,19,16
"G6PD - mRNA",36,30,57,30,36,52,47,43,33,25,25,16,10,14,24,14,8,24,16,53,19,14,71,31,19,49,31,32,22,32
"FLNB - mRNA",27,19,49,31,41,48,46,41,43,23,16,23,8,11,7,8,7,21,9,49,13,24,65,30,15,35,24,63,13,10
"CSF1 - mRNA",21,20,36,29,32,55,53,46,38,17,24,12,12,10,25,16,5,21,6,46,8,22,63,24,11,41,20,54,27,25
"IRF7 - mRNA",20,22,51,32,29,51,45,43,36,15,14,5,8,17,17,8,5,15,11,45,12,20,62,19,24,40,27,57,16,17
"CCND3 - mRNA",28,25,48,40,22,65,42,33,31,17,8,13,11,11,8,8,4,17,16,34,15,11,71,25,25,42,26,57,23,18
"BAMBI - mRNA",38,28,37,32,35,63,57,46,44,20,11,12,13,13,19,14,6,10,14,36,15,9,78,25,23,40,22,66,21,19
"HRAS - mRNA",31,30,44,35,28,69,61,35,43,27,15,12,9,9,16,11,6,21,10,43,8,23,78,34,24,36,30,44,24,12
"CCNB1 - mRNA",35,26,26,33,41,45,45,36,40,20,13,20,12,10,26,14,7,28,17,44,12,15,100,35,24,44,28,63,12,16
"FUT4 - mRNA",32,34,40,49,40,72,34,35,42,23,20,15,13,17,32,12,6,19,19,54,11,21,89,30,26,47,31,54,29,28
"BCAT1 - mRNA",30,31,39,33,55,74,44,41,40,19,23,21,7,10,12,12,10,21,9,60,12,20,96,25,19,44,29,60,22,11
"ITGB3 - mRNA",53,34,27,40,38,39,42,40,38,25,16,21,14,16,20,14,6,19,8,19,20,17,101,45,27,46,20,46,32,27
"TNFRSF11B - mRNA",45,48,48,36,51,66,60,45,48,11,18,12,10,20,15,11,4,14,21,19,16,17,93,31,44,53,39,57,25,19
"ADAM12 - mRNA",57,57,31,40,48,52,39,51,42,20,14,16,10,18,20,14,9,16,10,17,15,20,89,40,46,61,44,69,29,30
"WDR76 - mRNA",63,53,54,58,44,59,31,34,32,15,23,11,12,33,19,10,4,11,18,44,17,16,77,35,44,50,34,56,34,24
"TNFRSF25 - mRNA",60,38,41,60,50,59,38,37,32,16,23,12,16,21,8,10,5,12,14,35,13,17,65,23,33,45,43,59,27,22
"RASAL1 - mRNA",57,48,44,60,53,76,38,36,30,11,18,14,17,11,22,15,4,20,23,42,26,9,62,29,31,49,26,61,19,21
"COL11A2 - mRNA",50,42,43,52,48,67,35,31,27,18,29,23,18,29,21,17,6,22,18,47,17,12,60,36,24,33,36,69,34,27
"BIRC3 - mRNA",43,46,44,46,51,67,38,26,30,24,23,18,12,17,23,18,7,17,16,39,23,22,75,38,31,37,33,65,25,20
"PCK2 - mRNA",56,53,61,47,50,74,62,53,36,16,17,13,12,24,11,15,7,10,14,39,22,16,57,32,59,41,32,59,15,21
"TIE1 - mRNA",58,44,56,54,49,73,61,46,51,12,16,11,8,28,13,8,7,6,14,35,17,10,69,22,47,41,36,73,22,23
"BLM - mRNA",56,48,41,54,34,78,42,40,33,19,24,13,8,29,11,13,2,15,20,24,12,12,60,33,43,27,26,57,20,23
"VHL - mRNA",49,43,47,34,38,62,46,51,28,15,15,15,14,38,17,9,3,11,19,25,16,11,59,40,41,40,35,71,25,20
"NCR1 - mRNA",58,37,57,52,36,68,45,41,39,16,18,13,10,32,5,8,1,14,23,39,12,10,55,26,47,43,39,65,28,21
"RAD51 - mRNA",64,46,57,45,37,61,42,43,29,22,13,19,10,21,3,13,6,13,11,37,13,12,58,43,46,45,35,64,19,24
"OASL - mRNA",66,56,56,44,55,84,52,57,55,27,28,16,13,38,16,14,8,19,19,34,24,19,80,38,39,49,30,74,26,24
"IL1R2 - mRNA",64,44,43,36,46,69,57,58,48,26,26,27,12,29,28,22,6,24,22,39,22,16,81,34,33,50,34,61,33,30
"EZH2 - mRNA",43,39,54,45,40,84,57,51,47,17,16,20,11,25,12,17,3,11,17,41,21,16,65,32,40,41,38,68,38,25
"RAD51C - mRNA",49,45,48,40,52,74,41,41,37,17,17,12,7,23,17,12,1,13,14,35,19,5,62,36,34,55,25,56,24,27
"TTC30A - mRNA",52,40,46,41,42,76,49,48,43,22,15,12,9,24,26,14,3,14,16,26,19,17,70,40,29,50,28,54,29,19
"VTCN1 - mRNA",55,49,43,51,40,82,43,39,38,19,23,23,11,25,26,28,13,24,22,35,22,19,56,37,32,49,33,60,40,31
"LCK - mRNA",46,49,47,43,40,92,46,42,40,24,15,21,13,15,18,15,7,23,21,33,17,17,66,41,32,57,27,55,37,23
"IRF4 - mRNA",30,39,40,47,36,84,47,54,42,33,15,18,10,16,26,17,5,33,30,29,17,12,82,36,26,35,28,52,23,20
"LAMA1 - mRNA",46,54,28,41,34,82,40,43,34,29,13,12,20,10,24,20,4,17,23,25,26,18,82,27,41,49,34,58,26,29
"SLC2A1 - mRNA",44,48,54,38,36,89,25,27,29,16,31,20,12,21,11,20,7,16,25,40,14,19,68,40,39,58,28,66,28,22
"IL34 - mRNA",55,46,32,46,51,78,33,29,23,22,25,20,7,22,14,15,6,21,20,32,19,13,76,46,38,64,26,66,30,19
"CXCR2 - mRNA",61,50,48,56,46,90,39,36,56,22,30,15,9,22,21,7,7,24,16,37,25,24,71,39,52,60,28,65,37,29
"FZD8 - mRNA",40,45,51,50,43,101,42,34,43,29,26,15,12,28,15,18,5,17,20,50,26,16,83,34,48,50,42,72,39,34
"MAGEA3/A6 - mRNA",30,21,55,58,26,79,18,23,16,29,23,10,13,14,10,8,1,18,25,73,11,8,68,33,20,34,18,50,18,10
"DTX4 - mRNA",25,21,46,47,44,90,25,27,24,17,26,14,13,10,19,19,1,16,23,74,12,11,93,39,14,48,16,82,29,22
"CD8B - mRNA",42,27,53,56,42,86,31,29,27,22,24,17,14,15,20,17,4,21,19,44,12,5,70,35,23,54,29,82,22,21
"KIR3DL1 - mRNA",39,25,59,53,46,98,22,15,35,13,16,10,16,14,13,17,1,24,25,58,14,12,74,32,20,49,24,78,30,18
"TAP2 - mRNA",38,25,112,45,31,62,67,49,53,26,31,21,12,9,20,19,10,17,15,52,12,25,86,33,19,37,27,68,33,21
"DEPTOR - mRNA",33,27,39,38,34,73,80,55,60,29,19,25,7,16,14,13,7,29,19,63,12,20,72,24,19,29,18,65,18,20
"TLK2 - mRNA",29,13,54,49,48,76,66,50,65,15,24,12,14,10,11,13,5,23,19,61,10,23,82,27,18,33,16,77,15,10
"E2F3 - mRNA",36,21,61,58,46,99,56,38,46,21,19,18,11,14,13,13,8,18,19,56,11,19,105,31,25,49,27,73,16,12
"RELA - mRNA",29,19,56,45,27,81,71,48,33,16,11,17,8,11,13,10,2,19,22,54,6,24,83,28,15,50,36,65,22,22
"PARP12 - mRNA",32,26,67,42,45,78,56,43,47,18,26,14,13,8,12,16,4,17,14,44,10,22,77,17,22,36,20,64,16,15
"DNMT1 - mRNA",35,26,65,37,43,72,51,49,49,16,20,30,18,9,26,22,7,22,12,50,12,17,84,26,24,44,40,58,27,11
"SPRY4 - mRNA",22,16,21,32,22,58,93,72,98,20,7,8,11,5,11,16,11,12,12,25,15,15,73,21,13,23,13,50,12,16
"SERPINH1 - mRNA",23,19,23,44,29,67,82,59,97,19,13,21,5,9,7,5,19,18,7,40,6,28,66,10,11,21,18,41,18,10
"IL7R - mRNA",25,19,16,27,35,84,75,52,86,5,8,5,3,13,3,9,7,8,11,31,7,17,73,13,13,42,23,63,19,11
"NKG7 - mRNA",31,15,38,33,35,68,85,64,99,16,9,13,9,11,11,9,2,14,19,43,14,16,77,28,22,31,28,66,19,11
"TLR4 - mRNA",30,17,44,41,32,67,72,59,77,14,11,11,6,5,9,3,5,9,16,43,4,7,67,30,19,45,25,60,16,5
"FPR1 - mRNA",29,29,39,34,27,74,129,112,81,16,12,7,4,7,8,9,1,10,14,32,7,16,67,19,19,36,16,59,20,13
"OAS2 - mRNA",25,23,70,40,43,91,108,91,99,14,10,9,9,7,6,16,6,8,18,40,4,20,71,33,14,26,18,62,18,13
"OAS1 - mRNA",25,18,64,32,35,87,128,80,90,17,15,11,10,13,10,20,1,14,9,27,7,10,93,34,13,24,22,41,12,15
"PSMB10 - mRNA",22,11,54,31,25,62,97,65,64,12,12,11,10,6,12,15,7,13,11,29,13,11,89,32,13,50,31,67,19,11
"PUM1 - mRNA",22,25,40,27,29,77,95,66,77,8,11,10,11,6,11,4,10,14,10,52,12,23,88,24,15,43,16,63,20,15
"CDH11 - mRNA",42,22,34,46,36,84,101,64,74,16,5,8,3,12,18,9,4,24,15,38,13,19,63,27,17,37,24,80,16,20
"HCK - mRNA",31,26,35,44,30,75,100,82,63,18,14,12,8,8,11,11,2,11,15,27,6,22,59,24,15,46,31,65,15,14
"RBL2 - mRNA",28,27,39,31,41,65,128,59,83,10,15,22,6,7,9,5,6,10,10,37,12,21,64,18,18,32,22,56,15,19
"GNLY - mRNA",34,15,26,30,29,58,114,73,81,15,12,12,11,5,14,11,2,16,8,18,9,13,58,26,13,21,26,68,18,14
"VEGFB - mRNA",49,39,40,40,30,45,79,60,59,15,18,10,8,19,14,10,3,21,12,38,17,13,86,39,51,27,31,43,28,17
"PDGFA - mRNA",56,39,46,50,45,66,84,61,85,15,14,14,12,34,11,17,5,11,14,36,7,22,63,45,58,35,25,62,32,20
"CD8A - mRNA",39,51,44,42,39,80,91,62,52,15,21,17,11,28,8,10,5,13,19,36,18,16,75,44,51,39,37,50,29,25
"CD40 - mRNA",50,57,50,29,39,56,106,71,69,9,17,10,7,21,11,11,8,13,9,26,24,20,68,41,44,42,28,65,24,24
"PIK3CA - mRNA",50,38,23,49,33,74,69,59,66,8,12,13,7,26,13,7,5,10,13,44,9,15,64,17,30,33,40,49,30,16
"CDH5 - mRNA",50,46,33,34,42,56,83,42,67,14,14,7,12,22,9,14,6,14,17,29,13,18,61,27,38,42,33,54,26,24
"MRE11 - mRNA",54,56,32,38,34,67,90,64,67,13,20,20,10,25,18,11,7,10,18,40,19,18,53,32,46,40,32,48,33,26
"CASP3 - mRNA",41,26,38,37,54,91,78,65,84,25,15,19,12,20,26,17,12,20,18,45,19,33,73,27,25,32,31,59,37,19
"SMAD5 - mRNA",40,32,38,52,45,74,77,63,77,18,20,19,12,17,13,17,5,17,13,19,17,23,76,33,34,41,25,50,22,18
"CD300A - mRNA",40,33,54,44,48,73,74,95,66,20,20,19,17,13,21,20,9,21,15,45,12,13,61,29,23,45,26,51,24,21
"KRAS - mRNA",53,36,48,46,37,81,56,66,64,28,27,12,11,23,19,26,11,25,16,34,20,24,60,42,26,38,39,64,21,26
"ITGAE - mRNA",35,23,36,40,37,66,71,59,61,26,21,23,8,15,18,22,8,24,15,32,17,18,64,29,21,41,25,54,20,23
"TNFRSF14 - mRNA",40,41,42,29,24,67,76,59,63,27,25,25,11,11,13,23,8,23,25,43,19,17,69,42,19,44,24,59,28,13
"IRF9 - mRNA",44,24,56,27,26,54,91,74,78,19,16,13,9,9,23,5,3,15,8,31,12,32,41,26,37,32,31,38,24,25
"TLR3 - mRNA",44,33,32,18,30,46,100,91,73,12,10,10,6,14,16,15,3,8,6,17,13,11,50,26,26,38,26,32,21,20
"ATM - mRNA",29,24,27,36,32,44,94,79,78,10,15,12,7,18,24,11,4,12,10,21,11,18,55,24,24,35,25,41,23,27
"SMAP1 - mRNA",35,32,36,42,32,56,92,85,95,14,12,14,6,17,15,13,3,14,9,34,21,14,72,24,22,37,33,42,23,18
"EPM2AIP1 - mRNA",36,34,40,41,27,70,81,74,81,20,18,18,9,14,14,14,10,14,13,40,11,22,63,23,20,44,26,49,14,14
"PTPRC - mRNA",56,58,34,40,35,55,84,91,83,10,15,12,11,19,9,6,6,10,14,27,20,22,56,27,30,36,34,38,31,26
"GOT1 - mRNA",46,39,32,25,39,52,83,69,75,16,16,27,17,18,14,14,8,21,10,38,18,18,61,29,22,36,40,48,31,21
"TMEM140 - mRNA",52,31,35,37,42,52,86,82,56,16,21,13,14,20,15,18,3,21,12,31,9,17,56,28,25,38,37,48,24,12
"TNF - mRNA",49,40,38,56,37,65,114,98,76,11,15,17,7,18,7,17,6,8,20,36,15,12,51,36,41,60,20,43,26,22
"MMRN2 - mRNA",60,36,53,48,33,69,112,81,93,30,18,14,15,28,22,15,3,13,14,34,19,21,58,36,33,44,47,53,27,23
